2014-09-16 12:40:16 ERROR	(pid:27793) test
2014-09-16 12:41:48 INFO	(pid:27847) test
2014-09-16 12:41:55 INFO	(pid:27848) test2
2014-09-16 12:43:10 INFO	(pid:27873) test2
2014-09-16 12:45:41 INFO	(pid:28029) test2
2014-09-16 13:19:52 INFO	(pid:29054) testirb
2014-09-16 13:20:44 INFO	(pid:29191) testMsg
2014-09-16 13:22:10 INFO	(pid:29233) irb : msgFromLogger
2014-09-16 14:18:26 INFO	(pid:31103) 2014-09-16 14:18:26 +0200 ./fetch_raw_cdr.rb : Connected at cgarnero@miles
2014-09-16 14:18:41 ERROR	(pid:31106) 2014-09-16 14:18:41 +0200 ./fetch_raw_cdr.rb : getaddrinfo: Name or service not known
2014-09-17 14:13:24 ERROR	(pid:7335) 2014-09-17 14:13:24 +0200 ./collect_mss_cdr.rb : SFTP not connected (must use in 'connect' method)
2014-09-17 14:21:06 INFO	(pid:7971) 2014-09-17 14:21:06 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:21:06 INFO	(pid:7974) 2014-09-17 14:21:06 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:22:52 INFO	(pid:7988) 2014-09-17 14:22:52 +0200 collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:22:52 INFO	(pid:7991) 2014-09-17 14:22:52 +0200 collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:28:14 INFO	(pid:8165) 2014-09-17 14:28:14 +0200 /usr/local/bin/pry_debug : Logged into nicotest at @localhost
2014-09-17 14:28:15 INFO	(pid:8168) 2014-09-17 14:28:15 +0200 /usr/local/bin/pry_debug : Connected at cgarnero@miles
2014-09-17 14:29:00 INFO	(pid:8180) 2014-09-17 14:29:00 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:29:01 INFO	(pid:8183) 2014-09-17 14:29:01 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:33:11 INFO	(pid:8338) 2014-09-17 14:33:11 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:33:11 INFO	(pid:8341) 2014-09-17 14:33:11 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:36:36 INFO	(pid:8496) 2014-09-17 14:36:36 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:36:36 INFO	(pid:8499) 2014-09-17 14:36:36 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:38:02 INFO	(pid:8517) 2014-09-17 14:38:02 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:38:02 INFO	(pid:8520) 2014-09-17 14:38:02 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:41:13 INFO	(pid:8666) 2014-09-17 14:41:13 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:41:13 INFO	(pid:8669) 2014-09-17 14:41:13 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:42:29 INFO	(pid:8685) 2014-09-17 14:42:29 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:42:29 INFO	(pid:8688) 2014-09-17 14:42:29 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:52:53 INFO	(pid:9487) 2014-09-17 14:52:53 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:52:54 INFO	(pid:9490) 2014-09-17 14:52:54 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
2014-09-17 14:55:10 INFO	(pid:9641) 2014-09-17 14:55:10 +0200 ./collect_mss_cdr.rb : Logged into nicotest at @localhost
2014-09-17 14:55:10 INFO	(pid:9644) 2014-09-17 14:55:10 +0200 ./collect_mss_cdr.rb : Connected at cgarnero@miles
